code,title,description,credits,institution,department,prerequisites,has_lab,course_type
BIOL 235,Forensic Biology,,3,Delgado Community College,"School of Science, Technology, Engineering, and Math",,false,lecture
BIOL 236,Forensic Biology Laboratory,,3,Delgado Community College,"School of Science, Technology, Engineering, and Math",,false,lecture
BIOL 245,Genetics,,3,Delgado Community College,"School of Science, Technology, Engineering, and Math",,false,lecture
BIOL 246,Genetics Laboratory,,3,Delgado Community College,"School of Science, Technology, Engineering, and Math",,false,lecture
BIOL 251,Human Anatomy and Physiology I,,3,Delgado Community College,"School of Science, Technology, Engineering, and Math",,false,lecture
BIOL 252,Human Anatomy and Physiology II,,3,Delgado Community College,"School of Science, Technology, Engineering, and Math",,false,lecture
BIOL 253,Human Anatomy and Physiology I Laboratory,,3,Delgado Community College,"School of Science, Technology, Engineering, and Math",,false,lecture
BIOL 254,Human Anatomy and Physiology II Laboratory,,3,Delgado Community College,"School of Science, Technology, Engineering, and Math",,false,lecture
BIOL 265,Cell Biology,,3,Delgado Community College,"School of Science, Technology, Engineering, and Math",,false,lecture
BIOL 266,Cell Biology Lab,,3,Delgado Community College,"School of Science, Technology, Engineering, and Math",,false,lecture
BIOL 271,Pathophysiology,,3,Delgado Community College,"School of Science, Technology, Engineering, and Math",,false,lecture
BIOL 272,Natural History of the Vertebrates,,3,Delgado Community College,"School of Science, Technology, Engineering, and Math",,false,lecture
BIOL 273,Natural History of the Vertebrates Laboratory,,3,Delgado Community College,"School of Science, Technology, Engineering, and Math",,false,lecture
BIOL 279,Advanced Independent Studies in Biology,,3,Delgado Community College,"School of Science, Technology, Engineering, and Math",,false,lecture
BIOL 281,Introduction to Ecology,,3,Delgado Community College,"School of Science, Technology, Engineering, and Math",,false,lecture
BIOL 283,Introduction to Ecology Laboratory,,3,Delgado Community College,"School of Science, Technology, Engineering, and Math",,false,lecture
BIOL 296,Biological Internship,,3,Delgado Community College,"School of Science, Technology, Engineering, and Math",,false,research
BIOL 297,Biological Internship,,3,Delgado Community College,"School of Science, Technology, Engineering, and Math",,false,research
BIOL 298,Biological Internship,,3,Delgado Community College,"School of Science, Technology, Engineering, and Math",,false,research
BIOL 299,Biological Internship,,3,Delgado Community College,"School of Science, Technology, Engineering, and Math",,false,research
BTEC 274,Introduction to Nucleic Acids,,3,Delgado Community College,"School of Science, Technology, Engineering, and Math",,false,lecture
BTEC 275,Introduction to Protein Expression and Analysis,,3,Delgado Community College,"School of Science, Technology, Engineering, and Math",,false,lecture
BTEC 280,Microscopy Techniques,,3,Delgado Community College,"School of Science, Technology, Engineering, and Math",,false,lecture
BTEC 282,Introduction to Molecular and Genetic Biology,,3,Delgado Community College,"School of Science, Technology, Engineering, and Math",,false,lecture
BTEC 284,Biomolecules,,3,Delgado Community College,"School of Science, Technology, Engineering, and Math",,false,lecture
BTEC 285,Bioinformatics and Bioethics,,3,Delgado Community College,"School of Science, Technology, Engineering, and Math",,false,lecture
BTEC 286,Cell Culture Techniques Laboratory,,3,Delgado Community College,"School of Science, Technology, Engineering, and Math",,false,lecture
CHEM 100,Chemistry in Society,,3,Delgado Community College,"School of Science, Technology, Engineering, and Math",,false,lecture
CHEM 101,Chemistry I (non-science majors),,3,Delgado Community College,"School of Science, Technology, Engineering, and Math",,false,lecture
CHEM 102,Chemistry II (non-science majors),,3,Delgado Community College,"School of Science, Technology, Engineering, and Math",,false,lecture
CHEM 107,Chemistry I Lab (non-science majors),,3,Delgado Community College,"School of Science, Technology, Engineering, and Math",,false,lecture
CHEM 108,Chemistry II Lab (non-science majors),,3,Delgado Community College,"School of Science, Technology, Engineering, and Math",,false,lecture
CHEM 141,Chemistry I (Science Majors),,3,Delgado Community College,"School of Science, Technology, Engineering, and Math",,false,lecture
CHEM 142,Chemistry II (Science Majors),,3,Delgado Community College,"School of Science, Technology, Engineering, and Math",,false,lecture
CHEM 143,Chemistry I Lab (Science Majors),,3,Delgado Community College,"School of Science, Technology, Engineering, and Math",,false,lecture
CHEM 144,Chemistry II Lab (Science Majors),,3,Delgado Community College,"School of Science, Technology, Engineering, and Math",,false,lecture
CHEM 201,Introduction to Organic and Biochemistry,,3,Delgado Community College,"School of Science, Technology, Engineering, and Math",,false,lecture
CHEM 203,Introduction to Organic and Biochemistry Laboratory,,3,Delgado Community College,"School of Science, Technology, Engineering, and Math",,false,lecture
CHEM 221,Organic Chemistry I,,3,Delgado Community College,"School of Science, Technology, Engineering, and Math",,false,lecture
CHEM 222,Organic Chemistry II,,3,Delgado Community College,"School of Science, Technology, Engineering, and Math",,false,lecture
CHEM 223,Organic Chemistry Lab I,,3,Delgado Community College,"School of Science, Technology, Engineering, and Math",,false,lecture
CHEM 224,Organic Chemistry Lab II,,3,Delgado Community College,"School of Science, Technology, Engineering, and Math",,false,lecture
CHEM 241,Analytical Chemistry (Quantitative Analysis),,3,Delgado Community College,"School of Science, Technology, Engineering, and Math",,false,lecture
CHEM 243,Analytical Chemistry Laboratory,,3,Delgado Community College,"School of Science, Technology, Engineering, and Math",,false,lecture
CHEM 291,Fundamentals of Biochemistry,,3,Delgado Community College,"School of Science, Technology, Engineering, and Math",,false,lecture
CHTC 261,Instrumental Analysis,,3,Delgado Community College,"School of Science, Technology, Engineering, and Math",,false,lecture
CHTC 271,Applied Instrumental Analysis I,,3,Delgado Community College,"School of Science, Technology, Engineering, and Math",,false,lecture
CHTC 272,Applied Instrumental Analysis II,,3,Delgado Community College,"School of Science, Technology, Engineering, and Math",,false,lecture
CHTC 273,Applied Instrumental Analysis III,,3,Delgado Community College,"School of Science, Technology, Engineering, and Math",,false,lecture
CHTC 274,Applied Instrumental Analysis IV,,3,Delgado Community College,"School of Science, Technology, Engineering, and Math",,false,lecture
CHTC 281,Applied Organic Chemistry Lab,,3,Delgado Community College,"School of Science, Technology, Engineering, and Math",,false,lecture
MATH 020,Contemporary Math Corequisite,,3,Delgado Community College,"School of Science, Technology, Engineering, and Math",,false,lecture
MATH 030,College Algebra Corequisite,,3,Delgado Community College,"School of Science, Technology, Engineering, and Math",,false,lecture
MATH 113,Algebra for Technology,,3,Delgado Community College,"School of Science, Technology, Engineering, and Math",,false,lecture
MATH 114,Geometry and Trigonometry for Technology,,3,Delgado Community College,"School of Science, Technology, Engineering, and Math",,false,lecture
MATH 120,Contemporary Math,,3,Delgado Community College,"School of Science, Technology, Engineering, and Math",,false,lecture
MATH 123,Math for Elementary Teachers,,3,Delgado Community College,"School of Science, Technology, Engineering, and Math",,false,lecture
MATH 124,Geometry for Elementary Teachers,,3,Delgado Community College,"School of Science, Technology, Engineering, and Math",,false,lecture
MATH 128,Applied Algebra,,3,Delgado Community College,"School of Science, Technology, Engineering, and Math",,false,lecture
MATH 130,College Algebra,,3,Delgado Community College,"School of Science, Technology, Engineering, and Math",,false,lecture
MATH 131,Trigonometry,,3,Delgado Community College,"School of Science, Technology, Engineering, and Math",,false,lecture
MATH 133,Intensive College Algebra,,3,Delgado Community College,"School of Science, Technology, Engineering, and Math",,false,lecture
MATH 140,Precalculus,,3,Delgado Community College,"School of Science, Technology, Engineering, and Math",,false,lecture
MATH 151,Finite Math,,3,Delgado Community College,"School of Science, Technology, Engineering, and Math",,false,lecture
MATH 171,Introduction to Data and Decision Science,,3,Delgado Community College,"School of Science, Technology, Engineering, and Math",,false,lecture
MATH 203,Statistics I,,3,Delgado Community College,"School of Science, Technology, Engineering, and Math",,false,lecture
MATH 205,Statistics II,,3,Delgado Community College,"School of Science, Technology, Engineering, and Math",,false,lecture
MATH 207,Biostatistics,,3,Delgado Community College,"School of Science, Technology, Engineering, and Math",,false,lecture
MATH 220,Applied Calculus,,3,Delgado Community College,"School of Science, Technology, Engineering, and Math",,false,lecture
MATH 221,Calculus I,,4,Delgado Community College,"School of Science, Technology, Engineering, and Math",,true,lecture_lab
MATH 222,Calculus II,,4,Delgado Community College,"School of Science, Technology, Engineering, and Math",,true,lecture_lab
MATH 223,Calculus III,,4,Delgado Community College,"School of Science, Technology, Engineering, and Math",,true,lecture_lab
MATH 265,Differential Equations,,3,Delgado Community College,"School of Science, Technology, Engineering, and Math",,false,lecture
MATH 285,Linear Algebra,,3,Delgado Community College,"School of Science, Technology, Engineering, and Math",,false,lecture
PHYS 101,Introduction to Concepts in Physics,,3,Delgado Community College,"School of Science, Technology, Engineering, and Math",,false,lecture
PHYS 107,Introduction to Concepts in Physics Laboratory,,3,Delgado Community College,"School of Science, Technology, Engineering, and Math",,false,lecture
PHYS 141,Physics I (Algebra/Trigonometry Based),,3,Delgado Community College,"School of Science, Technology, Engineering, and Math",,false,lecture
PHYS 142,Physics II (Algebra/Trigonometry Based),,3,Delgado Community College,"School of Science, Technology, Engineering, and Math",,false,lecture
PHYS 143,Physics I Lab (Algebra/Trigonometry Based),,3,Delgado Community College,"School of Science, Technology, Engineering, and Math",,false,lecture
PHYS 144,Physics II Lab (Algebra/Trigonometry Based),,3,Delgado Community College,"School of Science, Technology, Engineering, and Math",,false,lecture
PHYS 221,Physics I (Calculus Based),,3,Delgado Community College,"School of Science, Technology, Engineering, and Math",,false,lecture
PHYS 223,Physics I Lab (Calculus Based),,3,Delgado Community College,"School of Science, Technology, Engineering, and Math",,false,lecture
PHYS 224,Physics II Lab (Calculus Based),,3,Delgado Community College,"School of Science, Technology, Engineering, and Math",,false,lecture
PHYS 226,Physics III Lab (Calculus Based),,3,Delgado Community College,"School of Science, Technology, Engineering, and Math",,false,lecture
PHYS 228,Physics II (Calculus Based),,3,Delgado Community College,"School of Science, Technology, Engineering, and Math",,false,lecture
PHYS 229,Physics III (Calculus Based),,3,Delgado Community College,"School of Science, Technology, Engineering, and Math",,false,lecture
