ccn,ccn_title,BPCC,BRCC,CLTCC,DCC,FTCC,LDCC,NCC,NTCC,RPCC,SLCC,STCC,LSU_AM,LSUA,LSUE,LSUS,GSU,LA_TECH,MCNEESE,NICHOLLS,NSU,SLU,ULL,ULM,UNO,SU_AM,SUNO,SUSLA
CBIO 2314,Botany I Lec + Lab,BLGY ***,BIOL ***,BIOL 2220 & 2230,BIOL 201 & 203,GNAT 4,GNAT 4,BIOL 2220 & 2230,GNAT 4,GNAT 4,BIOL 2014,GNAT 4,RNR 2900/HORT 2900 (3 cr hrs),GNAT 4,BOTY 1202,BIOS 224 & 224L,GNAT 4,BISC 216 & 217,BIOL ***,BIOL ***,BIOL 2100 & 2101,BOT 205,GNAT 4,BIOL 2004 & 2005,BIOS ***,AGSC 210,SBIO 231N & 231LN,GNAT 4
CBIO 2511,Intro to Genetics Lab,BLGY ***,BIOL ***,GNAT 1,BIOL 246,GNAT 1,GNAT 1,GNAT 1,GNAT 1,GNAT 1,GNAT 1,GNAT 1,GNAT 1,GNAT 1,GNAT 1,GNAT 1,GNAT 1,BISC ***,BIOL ***,BIOL ***,GNAT 1,BIOL 1***,BIOL 234,BIOL ***,BIOS ***,,GNAT 1,GNAT 1
CBIO 2513,Intro to Genetics,BLGY 244,BIOL 2513,BIOL 2050,BIOL 245,GNAT 3,BIOL 226,BIOL 2050,GNAT 3,GNAT 3,GNAT 3,GNAT 3,BIOL 2153,BIOL 2153,GNAT 3,GNAT 3,GNAT 3,BISC 200,GNAT 3,BIOL ***,BIOL 2240,GBIO 1***,BIOL 233,BIOL ***,BIOS ***,,GNAT 3,GNAT 1
CBIO 2514,Intro to Genetics Lec + Lab,BLGY ***,BIOL ***,GNAT 4,BIOL 245 & 246,GNAT 4,GNAT 4,GNAT 4,GNAT 4,GNAT 4,GNAT 4,GNAT 4,GNAT 4,GNAT 4,BIOL 2153,GNAT 4,GNAT 4,BISC ***,BIOL ***,BIOL ***,BIOL 2240 & GNAT,GBIO 1*** & BIOL 1***,BIOL 233 & 234,BIOL ***,BIOS 2014,AGSC 410,GNAT 4,GNAT 4
CBIO 2601,Intro to Zoology Lab,BLGY ***,BIOL***,GNAT 1,GNAT or CBIO 3,CBIO 1,BIOL 231,GNAT 1,GNAT 1,GNAT 1,GNAT 1,GNAT 1,GNAT 1,GNAT 1,GNAT 1,BIOS 222L,GNAT 1,BISC ***,BIOL ***,BIOL ***,GNAT 1,ZOOL 1***,GNAT 1,BIOL ***,BIOS ***,,SBIO 260LN,GNAT 1
CBIO 2603,Intro to Zoology,BLGY ***,BIOL***,GNAT 3,GNAT or CBIO 3,GNAT 3,BIOL 230,GNAT 3,GNAT 3,GNAT 3,GNAT 3,GNAT 3,GNAT 3,GNAT 3,GNAT 3,BIOS 222,GNAT 3,BISC ***,GNAT 3,BIOL ***,GNAT 3,ZOO 1***,GNAT 3,BIOL ***,BIOS ***,,SBIO 260N,GNAT 3
CBIO 2703,Nutrition,BLGY 203,BIOL 2703,BIOL 1500,GNAT or CBIO 3,GNAT 3,BIOL 225,BIOL 1500,GNAT 4,BIOL 2600,BIOL 2042,GNAT 3,NFS 1110,GNAT 3,NUTR 3,BIOS ***,FN 205,BISC ***,NFSC 131,DIET ****,NUTR 1030,GBIO 1***,IPHE 200,HLST 2007,BIOS 2313,FCSC 230,GNAT 3,GNAT 3
CBIO 3231,Comparative Anatomy Lab (Upper Level),BLGY ***,BIOL ***,GNAT 1,BIOL ***,CBIO 1,BIOL ***,GNAT 1,GNAT 1,GNAT 1,GNAT 1,GNAT 1,GNAT 1,GNAT 1,GNAT 1,GNAT 1,GNAT 1,BISC ***,BIOL ***,BIOL ***,GNAT 1,ZOOL 3***,GNAT 1,BIOL ***,BIOS ***,,GNAT 1,GNAT 1
CBIO 3233,Comparative Anatomy (Upper Level),BLGY ***,BIOL ***,GNAT 3,BIOL ***,GNAT 3,BIOL ***,GNAT 3,GNAT 3,GNAT 3,GNAT 3,GNAT 3,GNAT 3,GNAT 3,GNAT 3,GNAT 3,GNAT 3,BISC ***,GNAT 3,BIOL ***,GNAT 3,ZOOL 3***,GNAT 3,BIOL ***,BIOS ***,,GNAT 3,GNAT 3
CBIO 3234,Comparative Anatomy Lec + Lab (Upper Level),BLGY ***,BIOL ***,GNAT 4,BIOL ***,GNAT 4,BIOL ***,GNAT 4,GNAT 4,GNAT 4,GNAT 4,GNAT 4,BIOL 3152,BIOL 3152,GNAT 4,GNAT 4,BIOL 419,BISC ***,BIOL ***,BIOL 373,GNAT 4,ZOO 302,BIOL 436(G),BIOL 3016,BIOS 4353,,GNAT 4,GNAT 4
CBIO 3401,Biochemistry I Lab (Upper Level),BLGY ***,BIOL***,GNAT 1,BIOL ***,CBIO 1,BIOL ***,GNAT 1,GNAT 1,GNAT 1,GNAT 1,GNAT 1,GNAT 1,GNAT 1,GNAT 1,BCHM 410L,GNAT 1,CHEM 353,CHEM 421L,CHEM 437,CHEM 4041,CLAB 485,CHEM 319,CHEM 3051,BIOS ***,,SBIO 340LN,GNAT 1
CBIO 3403,Biochemistry I (Upper Level),BLGY ***,BIOL***,GNAT 3,BIOL ***,GNAT 3,BIOL ***,GNAT 3,GNAT 3,GNAT 3,GNAT 3,GNAT 3,BIOL 4093,GNAT 3,GNAT 3,BCHIM 410,CHEM 461,CHEM 351,CHEM 421,CHEM 435,CHEM 4040,CHEM 481,CHEM 317,CHEM 3050,BIOS 4103,,SBIO 340N,GNAT 3
CBIO 3521,Genetics Lab (Upper Level),BLGY ***,BIOL ***,GNAT 1,BIOL ***,CBIO 1,BIOL ***,GNAT 1,GNAT 1,GNAT 1,GNAT 1,GNAT 1,GNAT 1,GNAT 1,GNAT 1,BIOS 363L,GNAT 1,BISC ***,BIOL ***,BIOL ***,BIOL 3271,BIOL 314,GNAT 1,BIOL 3006,BIOS ***,BIOL 352B,SBIO 352LN,GNAT 1
CBIO 3523,Genetics (Upper Level),BLGY ***,BIOL***,GNAT 3,BIOL ***,GNAT 3,BIOL ***,GNAT 3,GNAT 3,GNAT 3,GNAT 3,GNAT 3,RNR 4103,GNAT 3,GNAT 3,BIOS 363,GNAT 3,BISC 310,GNAT 3,BIOL ***,BIOL 3270,GBIO 312,GNAT 3,BIOL 3005,BIOS 3453,BIOL 352B & BIOL ***,SBIO 352N,GNAT 3
CBIO 3524,Genetics Lec + Lab (Upper Level),BLGY ***,BIOL***,GNAT 4,BIOL ***,GNAT 4,BIOL ***,GNAT 4,GNAT 4,GNAT 4,GNAT 4,GNAT 4,GNAT 4,GNAT 4,GNAT 3,BIOS 363 & 363L,BIOL 302,BISC ***,BIOL 315,BIOL 320,BIOL 3270 & 3271,GBIO 312 & BIOL 314,GNAT 4,BIOL 3005 & 3006,BIOS ***,,SBIO 352N & 352LN,GNAT 4
CBIO 3603,Entomology,BLGY ***,BIOL ***,GNAT 3,BIOL ***,GNAT 3,BIOL ***,GNAT 3,GNAT 3,GNAT 3,GNAT 3,GNAT 3,ENTM 4002,BIOL 3001,GNAT 3,BIOS ***,GNAT 3,BISC 314,GNAT 3,BIOL 314,BIOL 3010,ZOO 409,BIOL 321,BIOL ***,BIOS 4974,BIOL 361B & UFOR 371B,GNAT 3,GNAT 3
CBIO 3613,Histology,BLGY ***,BIOL ***,GNAT 3,BIOL ***,GNAT 3,BIOL ***,GNAT 3,GNAT 3,GNAT 3,GNAT 3,GNAT 3,GNAT 3,GNAT 3,GNAT 3,BIOS 434,GNAT 3,BISC 407,GNAT 3,BIOL 304,BIOL 3170,ZOO 332,BIOL 434(G),BIOL ***,BIOS 3284,BIOL 362B,GNAT 3,GNAT 3
CBIO 3623,Parasitology,BLGY ***,BIOL ***,GNAT 3,BIOL ***,GNAT 3,BIOL ***,GNAT 3,GNAT 3,GNAT 3,GNAT 3,GNAT 3,BIOL 4105,GNAT 3,GNAT 3,BIOS 380,GNAT 3,BISC ***,GNAT 3,BIOL ***,VET 3100,ZOO 455,BIOL 351,BIOL 4072,BIOS 3953,,BIOL 362N,BIOL 235S
CBIO 3633,Animal Physiology,BLGY ***,BIOL ***,GNAT 3,BIOL ***,GNAT 3,BIOL ***,GNAT 3,GNAT 3,GNAT 3,GNAT 3,GNAT 3,BIOL 4160,BIOL 3150,GNAT 3,BIOS 387,GNAT 3,BISC 320,GNAT 3,BIOL 326,BIOL 4220,ZOO 392,GNAT 3,BIOL ***,BIOS 3354,AGSC 430,BIOL 363N,GNAT 3
CBIO 3643,Evolutionary Biology,BLGY ***,BIOL ***,GNAT 3,BIOL ***,GNAT 3,BIOL ***,GNAT 3,GNAT 3,GNAT 3,GNAT 3,GNAT 3,BIOL 3040,BIOL 3040,GNAT 3,BIOS 470,GNAT 3,BISC 426,GNAT 3,BIOL 370,BIOL 3280,GBIO 405,GNAT 3,BIOL 3008,BIOS 4524,,GNAT 3,GNAT 3
CBIO 4141,Cell Biology Lab (Upper Level),BLGY ***,BIOL***,GNAT 1,BIOL ***,GNAT 1,BIOL ***,GNAT 1,GNAT 1,GNAT 1,GNAT 1,GNAT 1,GNAT 1,GNAT 1,GNAT 1,BIOS 420L,BIOL 461,BISC ***,BIOL ***,BIOL 441,GNAT 1,ZOOL 4***,BIOL 458,BIOL ***,BIOS ***,,SBIO 414LN,GNAT 1
CBIO 4143,Cell Biology (Upper Level),BLGY ***,BIOL***,GNAT 3,BIOL ***,GNAT 3,BIOL ***,GNAT 3,GNAT 3,GNAT 3,GNAT 3,GNAT 3,BIOL 3090,GNAT 3,GNAT 3,BIOS 420,BIOL 459,BISC 315,BIOL 414,BIOL 440,BIOL 3250,ZOO 488,BIOL 457,BIOL ***,BIOS ****,,SBIO 414N,GNAT 3
CBIO 4144,Cell Biology Lec + Lab (Upper Level),BLGY ***,BIOL***,GNAT 4,BIOL ***,GNAT 4,BIOL ***,GNAT 4,GNAT 4,GNAT 4,GNAT 4,GNAT 4,GNAT 4,GNAT 4,GNAT 4,BIOS 420 & 420L,BIOL 459 & 461,BISC ***,BIOL ***,BIOL 440 & 441,BIOL 3250 GNAT 1,ZOO 488 & ZOOL 4***,BIOL 457 & 458,BIOL ***,BIOS ***,,SBIO 414N & 414LN,GNAT 4
CBIO 4411,Biochemistry II Lab (Upper Level),BLGY ***,BIOL***,GNAT 1,BIOL ***,CBIO 1,BIOL ***,GNAT 1,GNAT 1,GNAT 1,GNAT 1,GNAT 1,GNAT 1,GNAT 1,GNAT 1,BCHM 412L,GNAT 1,CHEM 354,CHEM ***,CHEM 438,GNAT,CLAB 486,GNAT 1,BIOL ***,BIOS ***,,GNAT 1,GNAT 1
CBIO 4412,Biochemistry I+II Lab (Upper Level),BLGY ***,BIOL***,GNAT 2,BIOL ***,GNAT 2,BIOL ***,GNAT 2,GNAT 2,GNAT 2,CBIO 2,GNAT 2,GNAT 2,GNAT 4,GNAT 2,BCHM 410L & 412L,GNAT 2,CHEM 353 & 354,CHEM ***,CHEM 437 & CHEM 438,CHEM 4041 & GNAT,CLAB 485 & 486,GNAT 2,CHEM 3051 & CHEM ***,BIOS 4113 and BIOS ***,GNAT 4,GNAT 4,GNAT 4
CBIO 4413,Biochemistry II (Upper Level),BLGY ***,BIOL***,GNAT 3,BIOL ***,GNAT 3,BIOL ***,GNAT 3,GNAT 3,GNAT 3,GNAT 3,GNAT 3,BIOL 4094,GNAT 3,GNAT 3,BCHM 412,GNAT 3,CHEM 352,CHEM 422,CHEM 436,CHEM 4050,CHEM 482,CHEM 417,CHEM 3052,BIOS 4113,,GNAT 3,GNAT 3
CBIO 4503,Developmental Biology,BLGY ***,BIOL ***,GNAT 3,BIOL ***,GNAT 3,BIOL ***,GNAT 3,GNAT 3,GNAT 3,GNAT 3,GNAT 3,GNAT 3,GNAT 3,GNAT 3,BIOS 475,BIOL 202,BISC 411,GNAT 3,BIOL 332,BIOL 4060,ZOO 465,BIOL 425,BIOL 4017,BIOS 4413,,GNAT 3,GNAT 3
CBIO 4513,Endocrinology,BLGY ***,BIOL ***,GNAT 3,BIOL ***,GNAT 3,BIOL ***,GNAT 3,GNAT 3,GNAT 3,GNAT 3,GNAT 3,BIOL 4158,BIOL 4158,GNAT 3,BIOS 480,GNAT 3,BISC 406,GNAT 3,BIOL 408,GNAT 3,ZOO 471,BIOL 310,BIOL ***,BIOS ***,,GNAT 3,GNAT 3
CBIO 4523,Immunology,BLGY ***,BIOL ***,GNAT 3,BIOL ***,GNAT 3,BIOL ***,GNAT 3,GNAT 3,GNAT 3,GNAT 3,GNAT 3,BIOL 4123,BIOL 3123,GNAT 3,BIOS 421,GNAT 3,BISC 402,BIOL 434,BIOL 428,BIOL 4190,MIC 460,BIOL 442,BIOL 4070,BIOS 3113,,GNAT 3,GNAT 3
CBIO 4533,Molecular Biology,BLGY ***,BIOL ***,GNAT 3,BIOL ***,GNAT 3,BIOL ***,GNAT 3,GNAT 3,GNAT 3,GNAT 3,GNAT 3,BIOL 4132,BIOL 3090,GNAT 3,BIOS 430,GNAT 3,BISC 422,GNAT 3,BIOL 440,BIOL 4300,GBIO 4***,GNAT 3,BIOL 4019,BIOS 4153,,SBIO 453N,GNAT 3
CBIO 4534,Molecular Biol (Lec+Lab),BLGY ***,BIOL ***,GNAT 4,BIOL ***,GNAT 4,BIOL ***,GNAT 4,GNAT 4,GNAT 4,GNAT 4,GNAT 4,GNAT 4,GNAT 4,GNAT 4,BIOS 430 & 431,GNAT 4,BISC ***,BIOL 401,BIOL 440 & 441,BIOL 4300 & 4301,GBIO 434,GNAT 4,BIOL 4019 + BIOL 4***,BIOS ***,,SBIO 453N & 453LN,GNAT 4
CBIO 4543,Pathogenic Microbiology,BLGY ***,BIOL ***,GNAT 3,BIOL ***,GNAT 3,BIOL ***,GNAT 3,GNAT 3,GNAT 3,GNAT 3,GNAT 3,BIOL 4124,GNAT 3,GNAT 3,BIOS ***,GNAT 3,BISC ***,GNAT 3,BIOL 315,BIOL 4120,MIC 436,BIOL 354,BIOL 4060,BIOS 4713,BIOL 454B,GNAT 3,GNAT 3
CBIO 4553,Virology,BLGY ***,BIOL ***,GNAT 3,BIOL ***,GNAT 3,BIOL ***,GNAT 3,GNAT 3,GNAT 3,GNAT 3,GNAT 3,BIOL 4190,GNAT 3,GNAT 3,BIOS 461,GNAT 3,BISC 409,GNAT 3,BIOL 460,BIOL 4270,MIC 463,BIOL 403(G),BIOL 4068,BIOS 4723,BIOL 455B & AGSC 321,GNAT 3,GNAT 3
CBIO 4561,Biology Seminar,BLGY ***,BIOL ***,GNAT 3,BIOL ***,GNAT 3,BIOL ***,GNAT 3,GNAT 3,GNAT 3,GNAT 1,GNAT 1,GNAT 3,BIOL 4000,GNAT 3,BIOS 495,BIOL 408,BISC 480,BIOL***,BIOL 402,BIOL 4900 or 4910,GBIO 441,BIOL 452,BIOL 4099,BIOS 3091,BIO 456B,GNAT 3,GNAT 1
CBIOL 2111,Microbiology Lab for Nursing/Allied Health,BLGY 202L,BIOL ***,GNAT 1,GNAT 1,GNAT 1,GNAT 1,GNAT 1,BIOL 2240,GNAT 1,GNAT 1,BIOL 2111,BIOL 1012,GNAT 1,GNAT 1,GNAT 1,GNAT 1,BISC ***,BIOL ***,BIOL ***,GNAT 1,MICL 224,BIOL 264,GNAT 1,BIOS ***,SBIO 213LB,SBIO 220L,GNAT 4
CBIOL 2114,Microbiology for Nursing & Allied Health Lec + Lab,BLGY 202 & 202L,BIOL ***,GNAT 4,GNAT 4,BIOL 2030 & GNAT 1,GNAT 4,GNAT 4,BIOL 2230 & 2240,GNAT 4,GNAT 4,BIOL 2111 & 2113,BIOL 1011 & 1012,GNAT 4,GNAT 4,GNAT 4,GNAT 4,BISC ***,BIOL 201,BIOL 205 & BIOL ***,BIOL 2210 & GNAT,MIC 223 & 224,BIOL 261 & 264,BIOL 2016 & BIOL ***,BIOS ***,SBIO 211B & 213LB,SBIO 220N & 220LN,GNAT 4
CBUS 1003,General/Intro to Business Administration,BADM 105,BUSN 1003,BUSN 1100,BUSG 129,BUSN 1100,BUSN 101,BUSN 1100,BUSN 1100,BUSN 1100,GBUS 1010,BUSI 1030,GBUS ***,BUSN 1001,BADM 1001,MADM 105,GB 150,BUSN 110,BADM 120,BSAD 101,BUAD 1040,MGMT 141,BADM ***,BUSN 1001,BA 1000,BUSP 100B,BADM 101N,MGMT 200S
CBUS 1103,Business Mathematics (Lower Level),BADM 113,MATH ***,BUSN 1050,BUSG 121,APMA 1030,MATH 114,BUSN 1050,BUSN 1***,BUSN ***,GBUS ***,BUSI 1210,GBUS ***,CBUS 3,BAS 2263,MADM ***,GB ***,MATH ***,BADM ***,BSAD ***,BUAD ***,GBBT 1***,BADM ***,BUSN ***,BA ***,***,BADM ***,
CBUS 2003,Legal Environment,BADM ***,BUSN ***,BUSN 2190,BUSL 250,BUSN 2200,BUSN ***,BUSN 2190,MGMT 2310,BUSN 2200,GBUS ***,BUSI 2010,GBUS ***,BLAW 2001,BADM ***,BLAW 280,GB ***,BUSN ***,BADM 201,BSAD 221,BUAD ***,BLAW 231,BLAW ***,BLAW ***,BA 3010,BUSP** *,BADM 240N,MGMT 243S
CBUS 2103,Business Law,BADM 215,BUSN 2103,BUSN 2200,BUSL ***,BUSI 1000,BUSN 231,BUSN 2200,BUSN 2***,BUSN ***,GBUS 2030,BUSI ***,GBUS ***,BLAW ***,BADM 2001,BLAW ***,GB ***,BLAW 255,BADM ***,BSAD ***,BUAD ***,BLAW 232,BLAW ***,BLAW ***,BA ***,BUSP** *,BADM ***,
CBUS 2203,Computer Applications,CTEC 100 or 115,CSCI 2203,BUSN 1150,BUSG 224,CPTR 1100,CINS 101 CPTR 1002,BUSN 1150,MGMT 2010,CSCI 2010,MCIS 1005,ITEC 1000/ OADM 1150,ISDS 1100,CMIS 1150,ISDS 2100,ISDS 150,CIS 115,CIS 110,CSCI 241,OIS ***,CIS ***,MGMT 210,INFX 205,CSCI 1070,BA 2780,,CISP 164N,CMPS 215S
CBUS 2213,Intro to Programming,CTEC 102,CSCI 1933,CBUS 3,CMIN 214,CPTR ***,CSCI 192,BUSN ***,BUSN 2***,CSCI ***,***,ITEC ***,CSC 1250,CSCI 1250,BADM ***,CSC 120,CBUS 3,CIS 1***,CSCI ***,CIS ***,CIS 1015,CMPS 161,CMPS ***,CSCI 2000,CSCI ***,,CISP 200N,CMPS 293S
CBUS 2303,Business Statistical Methods I,BADM 203,MATH 2303,CBUS 3,BUSG ***,BUSN ***,BUSN ***,BUSN ***,BUSN 2***,BUSN ***,GBUS ***,BUSI ****,ISDS 2000,MATH 2011,ISDS 2000,ISDS ***,GB 251,QA 233,BADM ***,QBA 282,BUAD 2120,OMIS 200,BADM ***,BUSN ***,MATH 2785,ECON 275 B,ECON 295N,MGMT 283S
CBUS 2313,Business Statistical Methods II,BADM 203,MATH 2313,CBUS 3,BUSG ***,BUSN ***,BUSN ***,BUSN ***,BUSN 2***,BUSN ***,GBUS ***,BUSI ****,ISDS 2001,CBUS 3,ISDS 2001,ISDS 265,GB 352,QA ***,BADM ***,QBA 283,BUAD ***,OMIS 210,BADM ***,QMDS 2010,QMBE 2786,ECON 275 B,BADM ***,
CCEM 1003,"General, Organic & Biochemistry",CHEM ***,CHEM 1003,CHEM 1003,GNAT 3,GNAT 3,GNAT 3,CHEM 1003,GNAT 3,GNAT 3,GNAT 3,GNAT 3,GNAT 3,CHEM 1001,GNAT 3,GNAT 3,CHEM 106,GNAT 3,CHEM 120,CHEM 109,CHEM 1070,GNAT 3,CHEM 123,GNAT 3,CHEM ***,SCHE 100B,GNAT 3,SCHE 100S
CCEM 1013,General Chemistry Survey I,PHSC 106,GNAT 3,GNAT 3,CHEM 100,GNAT 3,GNAT 3,GNAT 3,GNAT 3,GNAT 3,GNAT 3,GNAT 3,GNAT 3,GNAT 3,CHEM 1011,GNAT 3,GNAT 3,CHEM 120,CHEM 135,GNAT 3,GNAT 3,PHSC 102,CHEM 101,CHEM 1050,CHEM 1012,,GNAT 3,GNAT 3
CCEM 1101,Chemistry I Lab (Non-Science Majors),CHEM 107L,CHEM ***,GNAT 1,CHEM 107,GNAT 1,CHEM 103,GNAT 1,CHEM 1015,GNAT 1,CHEM 1011,GNAT 1,GNAT 1,CHEM 1012,GNAT 1,GNAT 1,CHEM 107,CHEM 122,CHEM ***,GNAT 1,GNAT 1,CLAB 103,GNAT 1,CHEM 1003,CHEM ***,SCHE 110LB,SCHE 110LN,SCHE 110LS
CCEM 1103,Chemistry I (Non-Science Majors),CHEM 107,GNAT 3,GNAT 3,CHEM 101,CHEM 1010,CHEM 101,GNAT 3,CHEM 1010,GNAT 3,CHEM 1010,CHEM 1213,CHEM 1001,CHEM 1001,CHEM 1001,CHEM 110,CHEM 105,CHEM 120,GNAT 3,CHEM 101,GNAT 3,CHEM 101,CHEM 101,CHEM 1001,CHEM 1001,,SCHE 110N,SCHE 110S
CCEM 1111,Chemistry II Lab (Non-Science Majors),CHEM ***,CHEM ***,GNAT 1,CHEM 108,GNAT 1,CHEM 104,GNAT 1,GNAT 1,GNAT 1,GNAT 1,GNAT 1,GNAT 1,GNAT 1,GNAT 1,CHEM 112L,GNAT 1,CHEM 122,CHEM ***,GNAT 1,GNAT 1,CLAB 104,CHEM 112,CHEM 1004,CHEM ***,SCHE 113LB,GNAT 3,SCHE 113LS
CCEM 1113,Chemistry II (Non-Science Majors),CHEM ***,GNAT 3,GNAT 3,CHEM 102,GNAT 3,CHEM 102,GNAT 3,GNAT 3,GNAT 3,GNAT 3,GNAT 3,CHEM 1002,CHEM 1002,CHEM 1002,CHEM 112,GNAT 3,CHEM 121,GNAT 3,CHEM 102,GNAT 3,CHEM 102,CHEM 102,CHEM 1002,CHEM 1002,SCHE 113B,GNAT 3,SCHE 113S
CCEM 1121,Chemistry I Lab (Science Majors),CHEM 101L,CHEM 1121,CHEM 1110,CHEM 143,CHEM 1121,CHEM 111,CHEM 1110,CHEM 1115,CHEM 1010L,CHEM 1031,CHEM 1011,GNAT 1,CHEM 1301,GNAT 1,CHEM 121L,CHEM 113,CHEM 103,CHEM 103L,CHEM 111 or 113,CHEM 1031,CLAB 123,GNAT 1,CHEM 1009,CHEM 1007,SCHE 132LB,SCHE 132LN,SCHE 132LS
CCEM 1123,Chemistry I (Science Majors),CHEM 101,CHEM 1123,CHEM 1100,CHEM 141,CHEM 1123,CHEM 110,CHEM 1100,CHEM 1100,CHEM 1010,CHEM 1030,CHEM 1010,CHEM 1201,CHEM 1201,CHEM 1201,CHEM 121,CHEM 111,CHEM 107,GNAT 3,CHEM 105,CHEM 1030,CHEM 121,CHEM 107,CHEM 1007,CHEM 1017,SCHE 132B,SCHE 132N,SCHE 132S
CCEM 1124,"Chem I, Lec + Lab (Sci Majors)",CHEM 101 & 101L,CHEM 1123 & 1121,CHEM 1100 & 1110,CHEM 141 & 143,GNAT 3,CHEM 110 & 111,CHEM 1100 & 1110,CHEM 1100 & 1115,CHEM 1010 & 1010L,CHEM 1030 & 1031,CHEM 1010 & 1011,GNAT 4,CHEM 1201 & 1301,GNAT 4,CHEM 121 & 121L,CHEM 111 & 113,CHEM 107 & 103,CHEM 101,CHEM 105 & 111 or 113,CHEM 1030 & 1031,CHEM 121 & CLAB 123,CHEM 107 & GNAT 1,CHEM 1007 & 1009,CHEM 1017 & 1007,SCHE 132B & 132LB,SCHE 132N & 132LN,SCHE 132S & 132LS
CCEM 1131,Chemistry II Lab (Science Majors),CHEM 102L,CHEM 1131,CHEM 1210,CHEM 144,CHEM 1131,CHEM 121,CHEM 1210,CHEM 1215,CHEM 1020L,CHEM 1041,CHEM 1021,GNAT 1,CHEM 1302,GNAT 1,CHEM 124L,CHEM 114,CHEM 104,CHEM 104L,CHEM 112 or 114,CHEM 1041,CLAB 124,GNAT 1,CHEM 1010,CHEM 1008,SCHE 133LB,SCHE 133LN,SCHE 133LS
CCEM 1132,Chemistry I + II Lab (Science Majors),CHEM 101L & 102L,CHEM 1121 & 1131,CHEM 1110 & 1210,CHEM 143 & 144,GNAT 3,CHEM 111 & 121,CHEM 1110 & 1210,CHEM 1115 & 1215,CHEM1 010L & 1020L,CHEM 1031 & 1041,CHEM 1011 & 1021,CHEM 1212,CHEM 1301 & 1302,CHEM 1212,CHEM 121L & 124L,CHEM 113 & 114,CHEM 103 & 104,CHEM 103L & 104L,CHEM 110,CHEM 1031 & 1041,CLAB 123 & 124,CHEM 115,CHEM 1009 & 1010,CHEM 1007 & 1008,SCHE 132LB & 133LB,SCHE 132LN & 133LN,SCHE 132LS & 132LS
CCEM 1133,Chemistry II (Science Majors),CHEM 102,CHEM 1133,CHEM 1200,CHEM 142,CHEM 1133,CHEM 120,CHEM 1200,CHEM 1200,CHEM 1020,CHEM 1040,CHEM 1020,CHEM 1202,CHEM 1202,CHEM 1202,CHEM 124,CHEM 112,CHEM 108,GNAT 3,CHEM 106,CHEM 1040,CHEM 122,CHEM 108,CHEM 1008,CHEM 1018,SCHE 133B,SCHE 133N,SCHE 133S
CCEM 1134,Chem II Lec + Lab (Sci Majors),CHEM 102 & 102L,CHEM 1133 & 1131,CHEM 1200 & 1210,CHEM 142 & 144,GNAT 3,CHEM 120 & 121,CHEM 1200 & 1210,CHEM 1200 & 1215,CHEM 1020 & 1020L,CHEM 1040 & 1041,CHEM 1020 & 1021,GNAT 4,CHEM 1202 & 1302,GNAT 4,CHEM 124 & 124L,CHEM 112 & 114,CHEM 108 & 104,CHEM 102,CHEM 106 & 112 or 114,CHEM 1040 & 1041,CHEM 122 & CLAB 124,CHEM 108 & GNAT,CHEM 1008 & 1010,CHEM 1018 & 1008,SCHE 133B & 133LB,SCHE 133N & 133LN,SCHE 133S & 133LS
CCEM 2203,"Organic Chemistry, Survey",CHEM ***,GNAT 3,GNAT 3,GNAT 3,GNAT 3,GNAT 3,GNAT 3,GNAT 3,GNAT 3,GNAT 3,CHEM 2210,CHEM 2060,GNAT 3,GNAT 3,GNAT 3,GNAT 3,CHEM 121,CHEM 211,CHEM ***,GNAT 3,CHEM 261,CHEM 240,CHEM ***,CHEM ***,SCHE 250B,GNAT 3,GNAT 3
CCEM 2211,Organic Chemistry I Lab,CHEM ***,CHEM 2211,CHEM 2210,CHEM 223,CHEM 2211,CHEM 223,CHEM 2210,GNAT 1,CHEM 2210L,GNAT 1,GNAT 1,GNAT 1,GNAT 2,CHEM 2361,CHEM 265L,CHEM 225,CHEM 253,CHEM ***,CHEM ***,GNAT 1,CLAB 267,CHEM 233,CHEM 2031,CHEM 2017,SCHE 220B,SCHE 221LN,SCHE 221LS
CCEM 2213,Organic Chemistry I,CHEM 250,CHEM 2213,CHEM 2200,CHEM 221,CHEM 2213,CHEM 221,CHEM 2200,GNAT 3,CHEM 2210,GNAT 3,GNAT 3,CHEM 2261,GNAT 3,CHEM2 261,CHEM 265,CHEM 223,CHEM 257,GNAT 3,CHEM 221,GNAT 3,CHEM 265,CHEM 231,CHEM 2030,CHEM 2217,SCHE 230B,SCHE 221N,SCHE 221S
CCEM 2221,Organic Chemistry II Lab,CHEM ***,CHEM 2221,GNAT 1,CHEM 224,GNAT 1,CHEM 224,GNAT 1,GNAT 1,CHEM 2220L,GNAT 1,GNAT 1,GNAT 1,GNAT 2,CHEM 2362,CHEM 266L,CHEM 226,CHEM 254,CHEM ***,CHEM ***,GNAT 1,CLAB 268,CHEM 234,CHEM 2033,CHEM ***,SCHE 221B,SCHE 222LN,SCHE 222LS
