code,title,description,credits,institution,department,prerequisites,has_lab,course_type
SPAN 1002,BASIC SPANISH II,,3,University of New Orleans,SPAN,,false,lecture
SPAN 201,INTERMEDIATE SPANISH I,,3,Delgado Community College,SPAN,,false,lecture
SPAN 2001,INTERMEDIATE SPANISH I,,3,University of New Orleans,SPAN,,false,lecture
SPAN 202,INTERMEDIATE SPANISH II,,3,Delgado Community College,SPAN,,false,lecture
SPAN 2002,INTERMEDIATE SPANISH II,,3,University of New Orleans,SPAN,,false,lecture
SPAN 204,CIVILIZATION AND CULTURES OF HISPANOAMERICA,,3,Delgado Community College,SPAN,,false,lecture
ANTH 160,CULTURAL ANTHROPOLOGY,,3,Delgado Community College,ANTH,,false,lecture
ANTH 2052,CULTURAL ANTHROPOLOGY,,3,University of New Orleans,ANTH,,false,lecture
ANTH 165,PHYSICAL ANTHROPOLOGY,,3,Delgado Community College,ANTH,,false,lecture
ANTH 2051,HUMAN ORIGINS,,3,University of New Orleans,ANTH,,false,lecture
ANTH 181,GEOGRAPHY,,3,Delgado Community College,ANTH,,false,lecture
GEOG 1001,WORLD REGIONAL GEOGRAPHY,,3,University of New Orleans,GEOG,,false,lecture
ANTH 200,MUSIC AS CULTURE,,3,Delgado Community College,ANTH,,false,lecture
ANTH 205,PHYSICAL GEOGRAPHY,,3,Delgado Community College,ANTH,,false,lecture
GEOG 2151,ELEMENTS OF PHYSICAL GEOGRAPHY,,3,University of New Orleans,GEOG,,false,lecture
ECON 201,MACROECONOMICS,,3,Delgado Community College,ECON,,false,lecture
ECON 1204,PRINCIPLES OF MACROECONOMICS,,3,University of New Orleans,ECON,,false,lecture
ECON 202,MICROECONOMICS,,3,Delgado Community College,ECON,,false,lecture
ECON 1203,PRINCIPLES OF MICROECONOMICS,,3,University of New Orleans,ECON,,false,lecture
POLI 180,AMERICAN GOVERNMENT,,3,Delgado Community College,POLI,,false,lecture
POLI 2151,AMERICAN GOVERNMENT,,3,University of New Orleans,POLI,,false,lecture
PSYC 112,HUMAN SEXUALITY,,3,Delgado Community College,PSYC,,false,lecture
PSYC 1520,HUMAN SEXUAL BEHAVIOR,,3,University of New Orleans,PSYC,,false,lecture
PSYC 127,GENERAL PSYCHOLOGY,,3,Delgado Community College,PSYC,,false,lecture
PSYC 1000,GENERAL PSYCHOLOGY,,3,University of New Orleans,PSYC,,false,lecture
PSYC 217,PSYCHOLOGY OF ADJUSTMENT,,3,Delgado Community College,PSYC,,false,lecture
PSYC 1500,THE PSYCHOLOGY OF PERSONAL ADJUSTMENT,,3,University of New Orleans,PSYC,,false,lecture
PSYC 225,CHILD PSYCHOLOGY,,3,Delgado Community College,PSYC,,false,lecture
PSYC 2110,CHILD PSYCHOLOGY,,3,University of New Orleans,PSYC,,false,lecture
PSYC 226,HUMAN GROWTH AND DEVELOPMENT,,3,Delgado Community College,PSYC,,false,lecture
PSYC 2100,FOUNDATIONS OF DEVELOPMENTAL PSYCHOLOGY,,3,University of New Orleans,PSYC,,false,lecture
PSYC 235,EDUCATIONAL PSYCHOLOGY,,3,Delgado Community College,PSYC,,false,lecture
PSYC 2200,EDUCATIONAL PSYCHOLOGY,,3,University of New Orleans,PSYC,,false,lecture
PSYC 240,ABNORMAL PSYCHOLOGY,,3,Delgado Community College,PSYC,,false,lecture
PSYC 245,SOCIAL PSYCHOLOGY,,3,Delgado Community College,PSYC,,false,lecture
PSYC 2400,SOCIAL PSYCHOLOGY,,3,University of New Orleans,PSYC,,false,lecture
SOCI 151,INTRODUCTORY SOCIOLOGY,,3,Delgado Community College,SOCI,,false,lecture
SOC 1051,INTRODUCTORY SOCIOLOGY,,3,University of New Orleans,SOC,,false,lecture
SOCI 153,INTRODUCTION TO SOCIAL WELFARE,,3,Delgado Community College,SOCI,,false,lecture
SOCI 250,STUDIES IN CULTURAL DIVERSITY,,3,Delgado Community College,SOCI,,false,lecture
1000NE,NO Equivalent,,1,University of New Orleans,NE,,false,lecture
SOC 2994,MULTICULTURALISM AND DIVERSITY IN U.S. SOCIETY,,3,University of New Orleans,SOC,,false,lecture
SOCI 255,MARRIAGE AND THE FAMILY,,3,Delgado Community College,SOCI,,false,lecture
SOCI 257,SOCIAL GERONTOLOGY: AGING AND THE LIFE CYCLE,,3,Delgado Community College,SOCI,,false,lecture
BIOS 1071,General Biology I Lab,Laboratory for introductory biology,1,University of New Orleans,Biological Sciences,,true,lab_only
BIOS 1073,General Biology I,Introduction to biological sciences,3,University of New Orleans,Biological Sciences,,false,lecture
BIOS 1081,General Biology II Lab,Laboratory for general biology II,1,University of New Orleans,Biological Sciences,BIOS 1071,true,lab_only
BIOS 1083,General Biology II,Continuation of biological sciences,3,University of New Orleans,Biological Sciences,BIOS 1073,false,lecture
BIOS 1303,Environmental Biology,Environmental science and ecology,3,University of New Orleans,Biological Sciences,,false,lecture
BIOS 1313,Human Biology,Human biological systems,3,University of New Orleans,Biological Sciences,,false,lecture
BIOS 2114,Genetics,Principles of heredity and molecular genetics,4,University of New Orleans,Biological Sciences,BIOS 1083,true,lecture_lab
BIOS 2313,Plant Biology,Study of plant form and function,3,University of New Orleans,Biological Sciences,BIOS 1083,false,lecture
BIOS 2741,Human Anatomy and Physiology I,Human body systems and functions,4,University of New Orleans,Biological Sciences,BIOS 1083,true,lecture_lab
BIOS 2743,Human Anatomy and Physiology II,Continuation of human anatomy and physiology,4,University of New Orleans,Biological Sciences,BIOS 2741,true,lecture_lab
BIOS 3010,Cell Biology,Cellular structure and function with lab,4,University of New Orleans,Biological Sciences,BIOS 2114,true,lecture_lab
BIOS 3150,Molecular Genetics,Advanced genetics with lab component,4,University of New Orleans,Biological Sciences,BIOS 2114,true,lecture_lab
BIOS 3200,Ecology,Ecological principles and interactions,3,University of New Orleans,Biological Sciences,BIOS 1083,false,lecture
BIOS 3500,Microbiology,Study of microorganisms with lab,4,University of New Orleans,Biological Sciences,BIOS 2114,true,lecture_lab
BIOS 4800,Biology Seminar,Current topics in biological sciences,1,University of New Orleans,Biological Sciences,BIOS 3010,false,seminar
